B_mT,theta_max_A1,theta_max_A0
0.3,180.0,29.999999999999996
0.4421052631578947,0.0,90.0
0.5842105263157895,0.0,180.0
0.7263157894736841,180.0,59.99999999999999
0.8684210526315789,0.0,150.0
1.0105263157894737,180.0,160.0
1.1526315789473685,0.0,70.0
1.294736842105263,0.0,20.0
1.4368421052631577,180.0,140.0
1.5789473684210527,180.0,50.0
1.7210526315789474,0.0,80.0
1.863157894736842,90.0,10.0
2.005263157894737,90.0,119.99999999999999
2.1473684210526316,90.0,80.0
2.289473684210526,90.0,80.0
2.431578947368421,90.0,40.0
2.5736842105263156,90.0,150.0
2.7157894736842105,90.0,160.0
2.8578947368421055,90.0,130.0
3.0,90.0,180.0
