# u=0.000,u=0.051,u=0.102,u=0.153,u=0.204,u=0.255,u=0.306,u=0.357,u=0.408,u=0.459,u=0.510,u=0.561,u=0.612,u=0.663,u=0.714,u=0.765,u=0.816,u=0.867,u=0.918,u=0.969,u=1.020,u=1.071,u=1.122,u=1.173,u=1.224,u=1.276,u=1.327,u=1.378,u=1.429,u=1.480,u=1.531,u=1.582,u=1.633,u=1.684,u=1.735,u=1.786,u=1.837,u=1.888,u=1.939,u=1.990,u=2.041,u=2.092,u=2.143,u=2.194,u=2.245,u=2.296,u=2.347,u=2.398,u=2.449,u=2.500
3.216065409068491476e-04,3.191161935002240213e-04,3.185537143362004997e-04,3.199231358824716764e-04,3.232207937567954659e-04,3.284386978839037852e-04,3.355646342727558462e-04,3.445806472586188107e-04,3.554606915957547741e-04,3.681677725694276759e-04,3.826507453210670207e-04,3.988409455863983766e-04,4.166488634945730851e-04,4.359611138762264915e-04,4.566379892442240518e-04,4.785118982915115282e-04,5.013869844010532262e-04,5.250401771823565156e-04,5.492238506710211965e-04,5.736701439745806042e-04,5.980968493939364805e-04,6.222146031635844565e-04,6.457349447537286125e-04,6.683786669997582308e-04,6.898837858276829493e-04,7.100124352348302637e-04,7.285560495718934604e-04,7.453383274521607760e-04,7.602156625281519808e-04,7.730749484392562820e-04,7.838288882993094120e-04,7.924091366883212473e-04,7.987577571253456910e-04,8.028175874565945946e-04,8.045221808299363175e-04,8.037860545786479349e-04,8.004960638422486952e-04,7.945048514713670684e-04,7.856275281992175508e-04,7.736429987555970555e-04,7.583016132570730150e-04,7.393409621150315303e-04,7.165114312793763318e-04,6.896123004277443513e-04,6.585374021980117121e-04,6.233265336644810972e-04,5.842152168947789548e-04,5.416720175095424139e-04,4.964110982653702209e-04,4.493698080157981778e-04
4.366682000936927821e-04,4.331341777392694325e-04,4.322118449838763254e-04,4.339055272424285903e-04,4.382090710138841771e-04,4.451105012627243340e-04,4.545922127411339275e-04,4.666289390269362514e-04,4.811845786141244474e-04,4.982083179260188288e-04,5.176302890385064970e-04,5.393569968423772565e-04,5.632668005013385937e-04,5.892057885326096311e-04,6.169844322565509742e-04,6.463754259726783857e-04,6.771131120253404134e-04,7.088948348080714723e-04,7.413844614555520351e-04,7.742181491866562126e-04,8.070122364508547363e-04,8.393729061481058906e-04,8.709070405706897944e-04,9.012334927064324930e-04,9.299938713555055969e-04,9.568619045597914763e-04,9.815505210936104064e-04,1.003815968170562734e-03,1.023458542133037774e-03,1.040319811498768843e-03,1.054276517271968139e-03,1.065231607641492495e-03,1.073103079756387856e-03,1.077811454564314708e-03,1.079266815977364402e-03,1.077356430930875852e-03,1.071934070944635664e-03,1.062812312800809345e-03,1.049759323882959450e-03,1.032501917548223069e-03,1.010736915821097703e-03,9.841529157569306463e-04,9.524641581420967285e-04,9.154570049033639023e-04,8.730472327331817439e-04,8.253428665435658118e-04,7.727030602331375064e-04,7.157798120239755590e-04,6.555280117434003628e-04,5.931724232713930789e-04
5.687590652025953375e-04,5.639319611109305797e-04,5.624972601636635261e-04,5.644590200661880885e-04,5.698076153680675660e-04,5.785258991999331357e-04,5.905895176950837211e-04,6.059643071661957592e-04,6.246021865320416921e-04,6.464361253849526534e-04,6.713745018700478795e-04,6.992951553925763619e-04,7.300395012331817313e-04,7.634071436761757923e-04,7.991514835605784128e-04,8.369768482189288150e-04,8.765376606989505603e-04,9.174400965880069592e-04,9.592465415699802378e-04,1.001482959712585163e-03,1.043649022018144912e-03,1.085230548496629588e-03,1.125713521365367953e-03,1.164598673226269199e-03,1.201415487610990596e-03,1.235734404584909463e-03,1.267176119783663957e-03,1.295417095700468479e-03,1.320190739997895157e-03,1.341284101018525021e-03,1.358530331551865977e-03,1.371797531781404622e-03,1.380974868866902128e-03,1.385957076160959645e-03,1.386628573480153115e-03,1.382848555976257110e-03,1.374438515624021306e-03,1.361173824728223458e-03,1.342781239532353510e-03,1.318944442388447769e-03,1.289319928245991065e-03,1.253565455535121664e-03,1.211382621900680689e-03,1.162573531411581484e-03,1.107108702204095962e-03,1.045199336502156129e-03,9.773624664481950219e-04,9.044637506676611594e-04,8.277219388650447485e-04,7.486632239364077179e-04
7.176216007833691179e-04,7.112194334839561094e-04,7.090835541699869182e-04,7.112170746621515605e-04,7.176058054598755120e-04,7.282261257325339798e-04,7.430454516181850266e-04,7.620190078964084179e-04,7.850846924890575451e-04,8.121567678586183447e-04,8.431187747069968097e-04,8.778160504850918144e-04,9.160483096295468641e-04,9.575628309429484730e-04,1.002048871536986852e-03,1.049133968962001617e-03,1.098382781452356127e-03,1.149299032493500405e-03,1.201330959263446907e-03,1.253880412443009185e-03,1.306315430432136715e-03,1.357985740980338640e-03,1.408240272271710225e-03,1.456445436444298025e-03,1.502002737134189303e-03,1.544364193721059486e-03,1.583044192496330105e-03,1.617626662474669352e-03,1.647766896129998493e-03,1.673187834887235326e-03,1.693671148557118755e-03,1.709043897428652592e-03,1.719161934177204643e-03,1.723891466832716546e-03,1.723090378613401086e-03,1.716591023234292912e-03,1.704186332077806121e-03,1.685621222528355112e-03,1.660591493245378025e-03,1.628752586687487458e-03,1.589740663012317867e-03,1.543208135059259689e-03,1.488874839729925625e-03,1.426594013677395800e-03,1.356428968948275582e-03,1.278731965700163897e-03,1.194212056743970685e-03,1.103975247189636910e-03,1.009520335827573945e-03,9.126791232089148664e-04
8.829835243741035455e-04,8.746898631909472144e-04,8.716254803031731058e-04,8.737917606275180660e-04,8.811687650394084415e-04,8.937249953043790995e-04,9.114180386677883661e-04,9.341906676675337806e-04,9.619645975293966700e-04,9.946327972896185088e-04,1.032050832730058154e-03,1.074027703398372502e-03,1.120316729790404864e-03,1.170607154951097684e-03,1.224517216643961071e-03,1.281589499065094451e-03,1.341289360694553068e-03,1.403007136100975494e-03,1.466064609115247386e-03,1.529725950744187379e-03,1.593212921281339511e-03,1.655723686208032674e-03,1.716454142226098156e-03,1.774620258157222352e-03,1.829479674163136949e-03,1.880350726727098021e-03,1.926627206572550932e-03,1.967787506280793686e-03,2.003397331268086390e-03,2.033105762506814962e-03,2.056635089124125848e-03,2.073765400444904650e-03,2.084315386258195346e-03,2.088121122891251069e-03,2.085014833144938073e-03,2.074805740271523646e-03,2.057265239377326083e-03,2.032118722692599633e-03,1.999046520564040641e-03,1.957696497494554322e-03,1.907710724719402506e-03,1.848768093394514977e-03,1.780643413572202682e-03,1.703281148432655989e-03,1.616878317114101016e-03,1.521966542224362229e-03,1.419478674489327297e-03,1.310782596513848652e-03,1.197665781482837311e-03,1.082260535314683025e-03
1.064562600027518791e-03,1.054025314154993787e-03,1.049765068754648922e-03,1.051780639043542465e-03,1.060045068087545062e-03,1.074517488873438786e-03,1.095143957271060842e-03,1.121852836274750409e-03,1.154547382078541240e-03,1.193096591478037816e-03,1.237324866791289502e-03,1.287001039882662567e-03,1.341827417488339336e-03,1.401429642355900285e-03,1.465348276043831888e-03,1.533033072874778746e-03,1.603840902534070523e-03,1.677038163648614244e-03,1.751808295999301990e-03,1.827264639637227184e-03,1.902468422027681072e-03,1.976451118427591247e-03,2.048239888818526033e-03,2.116884324131595996e-03,2.181482417667024443e-03,2.241203581333506278e-03,2.295306688531284500e-03,2.343151540488919160e-03,2.384202771744114990e-03,2.418025949809887720e-03,2.444276385948018770e-03,2.462681866994831381e-03,2.473021077067039108e-03,2.475099874211461604e-03,2.468727831112293991e-03,2.453697579569369402e-03,2.429769566070660858e-03,2.396664867946651789e-03,2.354068730982539215e-03,2.301647399539863414e-03,2.239080460008313622e-03,2.166110060834114392e-03,2.082606709892687036e-03,1.988648629172029558e-03,1.884607834993334841e-03,1.771231627620939442e-03,1.649704082380520909e-03,1.521670133222130517e-03,1.389206833798728447e-03,1.254733594385215589e-03
1.262085395338563565e-03,1.248911962405951925e-03,1.243144895721526311e-03,1.244779122381522996e-03,1.253779037140190233e-03,1.270092569706227081e-03,1.293652237034148555e-03,1.324369780475231906e-03,1.362127522058997897e-03,1.406767669428710121e-03,1.458080199298272817e-03,1.515789942399092816e-03,1.579543643786873730e-03,1.648897933200665911e-03,1.723309271924211572e-03,1.802127019143284770e-03,1.884590748302383822e-03,1.969832813971228447e-03,2.056886899075016650e-03,2.144702856031854843e-03,2.232167611163626830e-03,2.318131275193757723e-03,2.401436965622227859e-03,2.480952291760263329e-03,2.555600074801378518e-03,2.624385755728653180e-03,2.686419127219008551e-03,2.740928509015305714e-03,2.787266212419647893e-03,2.824905012535072757e-03,2.853426249809443149e-03,2.872501006805694423e-03,2.881866470251903678e-03,2.881300054293212121e-03,2.870594132262538345e-03,2.849534339320003440e-03,2.817884416440596951e-03,2.775380502807900385e-03,2.721737639455268365e-03,2.656670944920502819e-03,2.579933303341386264e-03,2.491370235891188223e-03,2.390990651457092220e-03,2.279049225056284378e-03,2.156132315948799949e-03,2.023235152258662239e-03,1.881814595074970953e-03,1.733800763766280006e-03,1.581553787729284011e-03,1.427759779448090072e-03
1.475289482901209759e-03,1.459042210361083391e-03,1.451410260672303387e-03,1.452382850156586080e-03,1.461913437283746120e-03,1.479936303517059848e-03,1.506367908306827097e-03,1.541100767820879902e-03,1.583993520025139823e-03,1.634858593677623873e-03,1.693448194407198848e-03,1.759439318016697840e-03,1.832418682263692311e-03,1.911868657647697312e-03,1.997155433202335573e-03,2.087520742515946992e-03,2.182078466015924256e-03,2.279817280368523491e-03,2.379610219915173630e-03,2.480231540238908572e-03,2.580380650011093735e-03,2.678712155642526405e-03,2.773870326227778627e-03,2.864525640184245603e-03,2.949410630303850311e-03,3.027352096237723167e-03,3.097296957000006401e-03,3.158329568574091972e-03,3.209679170153689753e-03,3.250717135582115169e-03,3.280944758865977917e-03,3.299973264952349439e-03,3.307498510593975816e-03,3.303273374089199521e-03,3.287081123369839375e-03,3.258713134330237793e-03,3.217954254186472518e-03,3.164578901973857938e-03,3.098360660819698964e-03,3.019097567568573837e-03,2.926654397114480943e-03,2.821021769021658798e-03,2.702389680506955827e-03,2.571230016931824736e-03,2.428378907526784758e-03,2.275106105990687411e-03,2.113155999728721923e-03,1.944744836759770834e-03,1.772502612151116708e-03,1.599356218629943704e-03
1.703913466645334829e-03,1.684112605788601336e-03,1.674212866135227351e-03,1.674195417164847655e-03,1.684000016841324943e-03,1.703544416181812515e-03,1.732726127100847613e-03,1.771415540836929203e-03,1.819444640037581884e-03,1.876592935604604051e-03,1.942571439193518934e-03,2.017005476221189753e-03,2.099417351445809210e-03,2.189210098258786985e-03,2.285653721544322892e-03,2.387875451186127762e-03,2.494855517748195695e-03,2.605429804159231644e-03,2.718300386003402735e-03,2.832054439369069421e-03,2.945191289244641908e-03,3.056156551405120325e-03,3.163381479021065701e-03,3.265324882504083703e-03,3.360514474563647269e-03,3.447584312433416009e-03,3.525305229872377488e-03,3.592605773426793547e-03,3.648582110544085211e-03,3.692496535277922654e-03,3.723765404283096991e-03,3.741938441464420784e-03,3.746672234378412014e-03,3.737701344206811882e-03,3.714810750802932660e-03,3.677813385979833427e-03,3.626536319803586039e-03,3.560818792937237021e-03,3.480524726779399280e-03,3.385571527996122931e-03,3.275975809367115410e-03,3.151914918422149547e-03,3.013800778737252273e-03,2.862359526114355290e-03,2.698707055884153050e-03,2.524407561198871441e-03,2.341500487689218701e-03,2.152482290225576911e-03,1.960233915125231263e-03,1.767893133222675495e-03
