A_mT,delta_Y_max,u_star
0.5,0.0014518487243647682,1.989795918367347
0.75,0.001877361686013157,1.836734693877551
1.0,0.002088121122890696,1.683673469387755
1.25,0.002209944567909794,1.5816326530612246
1.5,0.00228992968000985,1.4795918367346939
2.0,0.0023926055680935088,1.2755102040816326
