A_mT,DY_max,u_star,power_law_pred,michaelis_pred
0.2,0.0002935502182034311,2.209074343980583,0.000888700967268912,0.000709653962028964
0.3,0.0007514547611739975,2.1364855517747694,0.0010575191913107136,0.0009613907485715045
0.4,0.0011555699765782856,2.0554642873824225,0.0011964085095040869,0.001168673551204101
0.5,0.0014518251201773857,1.9775893452335576,0.001316582521556823,0.0013423221762692374
0.7,0.0018165475799801767,1.843085307883672,0.001520996663764344,0.0016168906961339718
1.0,0.0020881191310203606,1.6816848719691024,0.0017724415638880478,0.0019098876149088997
1.3,0.002228503442414431,1.548950900539851,0.0019835666607038237,0.002116394061190463
1.5,0.0022900146566062762,1.469490846074395,0.00210913573667937,0.002223232663272624
1.8,0.0023575230146085646,1.35800505984907,0.0022807019977753133,0.002351851214212298
2.0,0.0023926353065732986,1.2866453953347778,0.002386139148864829,0.0024219073581465095
2.5,0.0024620256740315316,1.1133278467464718,0.0026258164100655605,0.0025591218079156096
3.0,0.002517641118056302,0.9491009170727011,0.002839411721151888,0.0026595748949141246
