A,J,u_star_Hab,u_star_Lind,DeltaY_Hab,DeltaY_Lind,FWHM_Hab,FWHM_Lind,rel_diff_ustar,rel_diff_DY
0.5,0.5,1.9782574863575046,1.9782574863575046,0.001451766228672824,0.001451766228672824,nan,nan,0.0,0.0
1.0,0.5,1.6818804846794437,1.6818804846794437,0.002088092010317122,0.002088092010317122,nan,nan,0.0,0.0
2.0,0.5,1.28651455905277,1.28651455905277,0.0023926201171030614,0.0023926201171030614,nan,nan,0.0,0.0
1.0,0.25,1.0752985379137463,1.0752985379137463,0.00862955189943404,0.00862955189943404,nan,nan,0.0,0.0
1.0,1.0,2.1773418926082355,2.1773418926082355,0.0004953641845744094,0.0004953641845744094,nan,nan,0.0,0.0
