u,DY_B30uT,DY_B40uT,DY_B50uT,DY_B60uT,DY_B70uT
0.0,0.0003216065408857549,0.000568759065201152,0.000882983524376324,0.0012620853953317912,0.001703913466660656
0.01256281407035176,0.000320815150481657,0.0005672567775764081,0.0008804575579453022,0.0012581560980826634,0.001698120752871346
0.02512562814070352,0.00032013996685509305,0.0005659590997335595,0.0008782471930354196,0.00125467409202773,0.0016929264970292346
0.03768844221105528,0.0003195813184125873,0.0005648665719437673,0.0008763532010243047,0.0012516403786455577,0.0016883318851040885
0.05025125628140704,0.0003191394488061272,0.0005639795828676908,0.0008747761157981149,0.0012490556184190371,0.0016843376384997333
0.0628140703517588,0.00031881453144122496,0.0005632983955365933,0.0008735162746034142,0.0012469201893027249,0.0016809440934908437
0.07537688442211056,0.0003186066820335398,0.0005628231695599117,0.0008725738528857496,0.0012452342374854597,0.0016781512707189083
0.08793969849246232,0.0003185159691376782,0.0005625539803186808,0.0008719488942232623,0.0012439977198080987,0.0016759589329985447
0.10050251256281408,0.000318542422979351,0.0005624908345676083,0.0008716413349943997,0.0012432104396333798,0.0016743666343216335
0.11306532663316583,0.0003186860424572169,0.0005626336833592926,0.0008716510245714293,0.0012428720755635059,0.0016733737592190545
0.1256281407035176,0.000318946800939246,0.0005629824322301857,0.0008719777414273322,0.0012429822047720362,0.0016729795546412962
0.13819095477386936,0.00031932465060013904,0.0005635369491654441,0.0008726212056572313,0.0012435403209480889,0.0016731831545442333
0.15075376884422112,0.00031981952550308446,0.0005642970704997641,0.0008735810882215533,0.0012445458476550986,0.0016739835983566875
0.16331658291457288,0.0003204313441590445,0.0005652626050373089,0.0008748570178240822,0.0012459981479137072,0.001675379844317093
0.17587939698492464,0.0003211600106211021,0.0005664333367682017,0.000876448584877676,0.001247896530465864,0.001677370778089493
0.1884422110552764,0.000322005415460791,0.000567809026310373,0.0008783553442183178,0.0012502402532592605,0.0016799552179002086
0.20100502512562815,0.0003229674357764223,0.0005693894113414366,0.0008805768156383564,0.0012530285246523665,0.0016831319163970182
0.2135678391959799,0.00032404593496548895,0.0005711742060756642,0.0008831124835008142,0.0012562605027385265,0.0016868995600647363
0.22613065326633167,0.00032524076193229945,0.0005731631001274495,0.0008859617949246168,0.0012599352929466567,0.0016912567663918132
0.23869346733668342,0.0003265517501249704,0.0005753557568157763,0.0008891241572372977,0.00126405194468171,0.0016962020793633847
0.2512562814070352,0.00032797871613421403,0.000577751810820315,0.0008925989345925922,0.001268609446516078,0.0017017339636375972
0.26381909547738697,0.0003295214582003103,0.0005803508655423117,0.0008963854439915098,0.0012736067207800295,0.001707850797254773
0.2763819095477387,0.00033117975446694814,0.0005831524901097618,0.0009004829506690237,0.001279042617183479,0.0017145508636146056
0.2889447236180905,0.0003329533610324509,0.0005861562160610623,0.0009048906631184961,0.0012849159058652138,0.0017218323422566462
0.30150753768844224,0.0003348420099652527,0.0005893615336968194,0.000909607727583972,0.0012912252698856763,0.0017296932991459624
0.314070351758794,0.0003368454070165061,0.0005927678883064225,0.0009146332222277342,0.001297969297103796,0.0017381316760920473
0.32663316582914576,0.00033896322947335467,0.0005963746760304645,0.0009199661509659007,0.0013051464716257177,0.0017471452794887155
0.3391959798994975,0.00034119512347208225,0.000600181239677422,0.0009256054369956024,0.0013127551648172142,0.0017567317685153183
0.35175879396984927,0.000343540701727596,0.0006041868642502335,0.0009315499159031626,0.0013207936258402553,0.0017668886428843233
0.36432160804020103,0.0003459995407770755,0.000608390772280587,0.0009377983287517377,0.0013292599718918163,0.0017776132297163683
0.3768844221105528,0.00034857117827380435,0.0006127921191199093,0.0009443493146392701,0.0013381521779416428,0.0017889026703765687
0.38944723618090454,0.00035125511026123934,0.0006173899879678979,0.0009512014032776461,0.001347468066367652,0.0018007539064390787
0.4020100502512563,0.00035405078820560654,0.0006221833848677472,0.0009583530071496371,0.0013572052959751613,0.001813163665574824
0.41457286432160806,0.0003569576161387422,0.0006271712334808832,0.0009658024136335319,0.0013673613510267746,0.0018261284466715155
0.4271356783919598,0.00035997494767292526,0.0006323523698870126,0.000973547776958128,0.0013779335299203277,0.0018396445050840038
0.4396984924623116,0.0003631020829442111,0.0006377255371978752,0.0009815871099295714,0.0013889189335603014,0.0018537078371766436
0.45226130653266333,0.00036633826556664584,0.0006432893802085227,0.0009899182756525349,0.0014003144537787504,0.001868314164787499
0.4648241206030151,0.00036968267952697254,0.0006490424398544192,0.0009985389791207222,0.0014121167614288277,0.0018834589195930729
0.47738693467336685,0.000373134446102541,0.0006549831478634971,0.0010074467588041536,0.0014243222944645417,0.001899137227161174
0.4899497487437186,0.0003766926207745547,0.0006611098211566357,0.0010166389781776086,0.0014369272461460803,0.0019153438909826903
0.5025125628140704,0.0003803561901063457,0.0006674206565151497,0.0010261128172864842,0.0014499275528446764,0.0019320733765917364
0.5150753768844222,0.00038412406871735083,0.000673913725067421,0.0010358652644176791,0.0014633188823705012,0.0019493197955680053
0.5276381909547739,0.00038799509626508133,0.0006805869670342135,0.0010458931077818034,0.001477096622113594,0.001967076889808017
0.5402010050251257,0.0003919680344420806,0.0006874381864179213,0.0010561929273322779,0.0014912558673760845,0.00198533801582379
0.5527638190954774,0.0003960415641216519,0.0006944650458849955,0.001066761086885304,0.0015057914101261893,0.0020040961295104687
0.5653266331658292,0.0004002142825603183,0.0007016650617985842,0.0010775937262482715,0.0015206977276839284,0.002023343770966801
0.577889447236181,0.0004044847006532404,0.0007090355993654152,0.0010886867537378553,0.0015359689720735314,0.0020430730500865524
0.5904522613065327,0.00040885124036893483,0.0007165738680916522,0.0011000358389865461,0.0015515989595890067,0.0020632756322968016
0.6030150753768845,0.00041331223230478553,0.000724276917287936,0.0011116364060119732,0.001567581160797249,0.0020839427251041487
0.6155778894472362,0.0004178659133431406,0.0007321416320610341,0.0011234836267263182,0.001583908691247915,0.00210506506520336
0.628140703517588,0.0004225104245942912,0.0007401647293713287,0.0011355724149155755,0.001600574302478508,0.002126632906350734
0.6407035175879398,0.0004272438093518849,0.0007483427545977861,0.0011478974205695325,0.0016175703739770286,0.002148636008093452
0.6532663316582915,0.000432064011418376,0.0007566720782942182,0.0011604530248354727,0.0016348889055916027,0.0021710636253439164
0.6658291457286433,0.0004369688735635924,0.0007651488934407036,0.0011732333355545244,0.0016525215109184366,0.0021939044990697543
0.678391959798995,0.0004419561361939106,0.0007737692130339591,0.0011862321832826206,0.0016704594113700066,0.002217146847936169
0.6909547738693468,0.000447023436369931,0.0007825288681225784,0.0011994431181070464,0.001688693431289301,0.002240778361261575
0.7035175879396985,0.0004521683069849125,0.0007914235063417596,0.0012128594070923704,0.0017072139939487974,0.002264786193084345
0.7160804020100503,0.00045738817631602036,0.000800448590916214,0.0012264740324553491,0.0017260111185390947,0.0022891569577072612
0.7286432160804021,0.0004626803678007274,0.0008095994001203755,0.001240279690572943,0.0017450744183707956,0.002313876726555697
0.7412060301507538,0.00046804210020567893,0.0008188710274279476,0.0012542687917794781,0.0017643931000852486,0.002338931026533486
0.7537688442211056,0.00047347048802948155,0.0008282583820410361,0.0012684334610164605,0.0017839559641402714,0.002364304840028142
0.7663316582914573,0.00047896254231571955,0.0008377561901909969,0.0012827655393751192,0.001803751406497911,0.0023899826064355256
0.7788944723618091,0.0004845151717600693,0.0008473589968761575,0.0012972565865830843,0.0018237674215825228,0.0024159482253961473
0.7914572864321608,0.000490125184252399,0.0008570611683337281,0.0013118978844068874,0.001843991606626405,0.0024421850618333574
0.8040201005025126,0.000495789288674997,0.0008668568951187838,0.0013266804410281274,0.0018644111672923014,0.002468675952719046
0.8165829145728644,0.0005015040971623197,0.0008767401958069687,0.0013415949964433738,0.0018850129247562908,0.00249540321569075
