u,DY_gamma0.0,DY_gamma0.001,DY_gamma0.01,DY_gamma0.05,DY_gamma0.1,DY_gamma0.5,DY_gamma1.0
-1.0,0.0009491541646072243,0.0013136668763504833,0.007966934457972724,0.021774547805387207,0.029990282578930855,0.04070962317354971,0.03782833722043703
-0.9646464646464646,0.0009844701434932879,0.0013724971010755094,0.008434329735062807,0.023252269438415116,0.03208703396377391,0.043641159254985594,0.040549373564535106
-0.9292929292929293,0.001017877315879434,0.0014301894570104001,0.008913051964059254,0.02480015153769971,0.034293462971061534,0.046740260869762136,0.04342540869192839
-0.8939393939393939,0.0010489368690285161,0.001486194966657639,0.00940093675408038,0.026416790007653318,0.036609446201605084,0.05000952971549967,0.04645874119493473
-0.8585858585858586,0.001077212646710457,0.001539941230056463,0.009895455151574833,0.028099895489282198,0.03903378234230559,0.053450371778661895,0.049650543100918126
-0.8232323232323232,0.0011022846376432804,0.001590844661312929,0.010393710194938205,0.029846189262549713,0.04156403644451895,0.05706278282465754,0.05300065940959876
-0.7878787878787878,0.0011237641907293483,0.0016383252531663173,0.01089244329554434,0.031651302356416805,0.04419638141540093,0.06084512151886204,0.05650739629058195
-0.7525252525252526,0.0011413104552920883,0.0016818236183419044,0.011388052195257015,0.033509681744354064,0.046925440832865914,0.06479387376580083,0.06016730136135491
-0.7171717171717171,0.0011546473230351628,0.0017208198315502576,0.011876622051305796,0.03541450816168673,0.04974413816504125,0.06890341307156372,0.06397494061516236
-0.6818181818181819,0.0011635799257067037,0.0017548533538539468,0.01235397084297335,0.037357630677269826,0.0526435584580916,0.07316576306255759,0.0679226778224931
-0.6464646464646464,0.0011680095520888445,0.0017835430702978217,0.012815709753918436,0.03932952362097347,0.0556128294882354,0.07757036968613704,0.07200046354212107
-0.6111111111111112,0.0011679457120581382,0.0018066062492314572,0.013257318461921186,0.04131927174029096,0.05863903017830002,0.08210389200839226,0.0761956421853099
-0.5757575757575758,0.001163514051382264,0.001823875068142855,0.013674234369374316,0.04331458945254324,0.06170713466134298,0.08675002181951447,0.08049278679310878
-0.5404040404040404,0.0011549589200350319,0.0018353092825981188,0.01406195377439784,0.04530187969384997,0.06480000062560984,0.091489343346904,0.08487357220254621
-0.5050505050505051,0.0011426396671777583,0.0018410036831884025,0.01441614187922119,0.047266337068182396,0.06789841038558841,0.09629924512621549,0.08931669796841235
-0.4696969696969697,0.001127020178075977,0.0018411892192912171,0.01473274745310682,0.04919209871651037,0.07098117238216811,0.10115389634622021,0.09379787263127032
