gamma_mT,u_star,u_star_err,DY_max,FWHM
0.0,1.6815362045057214,0.027832788763528734,0.002088131301551832,1.4246964426359634
0.001,1.5930697286787479,0.031311712144465716,0.002193006555355703,nan
0.01,-0.24634682754843037,0.027510068154943328,0.01567876882134933,nan
0.05,-0.023351871943925444,0.02472706227273207,0.06327365263289919,1.5503119351805303
0.1,0.04291412546420842,0.022931164745958712,0.09857955369764443,1.5431978601673593
0.5,0.12739594941403695,0.022244195577973178,0.15595465646445772,1.544228935719118
1.0,0.1212984350068305,0.02272517712523884,0.1436060040995898,1.5412613212362993
