B_uT,u_star,u_star_err,DeltaY_max,FWHM
30,1.7375909505917042,0.03435549659022791,0.000804572830604533,nan
40,1.7110390335889731,0.030856011263152953,0.0013868782518613454,nan
50,1.6816848719691024,0.027324660821056623,0.0020881191310203606,nan
60,1.651417051695311,0.02475219892532672,0.0028828363621219433,2.001178126723486
70,1.6214647119960037,0.02353606822951347,0.003746781512920405,2.0154967925164713
