B_mT,theta_max_on_deg,theta_max_off_deg,DY_on,DY_off
0.3,0.0,180.0,0.015789787160474633,2.4980018054066022e-14
0.36923076923076925,0.0,175.0,0.01626279086475091,3.441691376337985e-14
0.43846153846153846,180.0,3.0000000000000004,0.016242816835372098,5.184741524999481e-14
0.5076923076923077,0.0,0.0,0.01599327544347895,7.738254481637341e-14
0.5769230769230769,0.0,1.0,0.015936332395290687,1.1601830607332886e-13
0.6461538461538461,0.0,176.0,0.01698970181744175,1.729727472365994e-13
0.7153846153846154,0.0,3.0000000000000004,0.017782008158158447,2.636779683484747e-13
0.7846153846153847,0.0,180.0,0.01832472780722416,4.234390615920347e-13
0.8538461538461539,0.0,0.0,0.018622495651217097,7.006617508409363e-13
0.9230769230769231,0.0,2.0,0.018687408789552773,1.1317613513028846e-12
0.9923076923076923,0.0,0.0,0.01854440465466367,1.4551693183761927e-12
1.0615384615384615,0.0,1.0,0.018224677719159477,1.230682222796986e-12
1.1307692307692307,0.0,0.0,0.017757473239492616,7.828182546631979e-13
1.2,180.0,180.0,0.017165519150110664,4.677369602745785e-13
1.2692307692307694,0.0,5.0,0.016476167394385177,2.871036741680655e-13
1.3384615384615386,0.0,180.0,0.01570551560131006,1.8329782136561334e-13
1.4076923076923078,0.0,180.0,0.01487621071399614,1.177946629127291e-13
1.476923076923077,0.0,3.0000000000000004,0.014006824872477508,7.482903185973555e-14
1.5461538461538462,0.0,3.0000000000000004,0.013115054364320367,4.729550084903167e-14
1.6153846153846154,0.0,171.0,0.012218487596733163,2.609024107869118e-14
1.6846153846153846,0.0,172.0,0.011330664450701633,1.2545520178264269e-14
1.753846153846154,0.0,70.0,0.010461964220951692,1.1213252548714081e-14
1.8230769230769233,0.0,107.0,0.009624284917903236,1.9095836023552692e-14
1.8923076923076925,0.0,94.0,0.008823115473748255,2.55351295663786e-14
1.9615384615384617,0.0,103.0,0.00806273699197757,3.008704396734174e-14
2.0307692307692307,0.0,99.0,0.0073462174563099225,3.6637359812630166e-14
2.1,90.0,96.00000000000001,0.00693555652882305,3.68594044175552e-14
2.169230769230769,90.0,98.0,0.007034547511344136,4.18554080283684e-14
2.2384615384615385,90.0,91.0,0.007142485969838019,4.474198789239381e-14
2.3076923076923075,90.0,81.0,0.007257232389774715,4.6074255521943996e-14
2.376923076923077,90.0,87.0,0.007380125455109021,4.6407322429331543e-14
2.446153846153846,90.0,92.0,0.007508527182091607,5.206945985491984e-14
2.5153846153846153,90.0,92.0,0.007642170527050851,5.029310301551959e-14
2.5846153846153848,90.0,88.0,0.007779387032263441,5.3179682879545e-14
2.6538461538461537,90.0,93.0,0.007920930520813885,5.562217353372034e-14
2.723076923076923,90.0,86.0,0.00806382892575519,5.717648576819556e-14
2.792307692307692,90.0,81.0,0.008209032747583334,5.684341886080802e-14
2.8615384615384616,90.0,89.0,0.008355867543070605,5.895284260759581e-14
2.9307692307692306,90.0,89.0,0.008502802796594211,5.540012892879531e-14
3.0,90.0,82.0,0.008649589397256463,5.839773109528323e-14
