theta_deg,B0.5mT_on,B1.0mT_on,B1.5mT_on,B1.8mT_on,B2.0mT_on,B2.5mT_on,B3.0mT_on,B0.5mT_off,B1.0mT_off,B1.5mT_off,B1.8mT_off,B2.0mT_off,B2.5mT_off,B3.0mT_off
0.0,0.9851049152425375,0.9851049152425395,0.9851049152425382,0.9851049152425377,0.9851049152425392,0.9851049152425375,0.9851049152425346,0.9999999999999386,0.9999999999999379,0.9999999999999379,0.9999999999999392,0.9999999999999374,0.9999999999999374,0.9999999999999383
1.0,0.9850529367729205,0.9849869581969427,0.9850154090718983,0.9850799809925692,0.9850915140301213,0.9851000128789903,0.9851026266083878,0.9999999999999372,0.9999999999999372,0.9999999999999365,0.9999999999999377,0.9999999999999356,0.9999999999999368,0.9999999999999379
2.0,0.9848985390785817,0.9846410283684721,0.9847556897766109,0.9850058418874106,0.9850515072695379,0.9850853405090582,0.9850957739003328,0.999999999999938,0.9999999999999339,0.9999999999999372,0.9999999999999353,0.9999999999999396,0.9999999999999403,0.9999999999999362
3.0000000000000004,0.9846462200017032,0.984089625641795,0.9843499457308004,0.9848844410134626,0.9849854779250862,0.9850610017830812,0.9850843966047101,0.9999999999999385,0.9999999999999303,0.9999999999999385,0.9999999999999372,0.9999999999999387,0.9999999999999385,0.9999999999999362
4.0,0.9843031086051208,0.9833662355248837,0.9838321089211903,0.9847188638381866,0.984894372631092,0.9850271677619231,0.9850685602112584,0.9999999999999322,0.9999999999999285,0.9999999999999375,0.9999999999999355,0.9999999999999355,0.9999999999999372,0.9999999999999355
5.0,0.9838784694171983,0.9825105200108192,0.9832390656586127,0.9845131300029912,0.984779466191305,0.984984074438505,0.9850483557383218,0.9999999999999367,0.9999999999999277,0.9999999999999357,0.9999999999999362,0.9999999999999362,0.9999999999999376,0.9999999999999395
6.000000000000001,0.9833831056481808,0.9815634627718863,0.9826049529873793,0.9842719398935557,0.984642315555382,0.9849320193772811,0.9850238990807545,0.9999999999999383,0.9999999999999224,0.9999999999999343,0.9999999999999379,0.9999999999999374,0.9999999999999379,0.9999999999999332
7.0,0.9828287319644071,0.9805634077032227,0.9819577132574899,0.9840004047801031,0.9844847064324518,0.9848713575743744,0.9849953301928587,0.9999999999999332,0.9999999999999162,0.9999999999999349,0.9999999999999362,0.9999999999999367,0.9999999999999359,0.9999999999999347
8.0,0.9822273794234275,0.9795434570018241,0.9813179189504418,0.983703787298811,0.984308595968466,0.9848024966605842,0.9849628121214848,0.9999999999999322,0.9999999999999059,0.9999999999999344,0.9999999999999379,0.9999999999999352,0.9999999999999402,0.9999999999999365
9.0,0.9815908795208672,0.9785302424050674,0.9806992079110717,0.9833872733246526,0.9841160548270701,0.984725891586801,0.9849265299063338,0.9999999999999349,0.9999999999999003,0.9999999999999349,0.9999999999999369,0.9999999999999364,0.9999999999999385,0.9999999999999376
10.0,0.9809304541845171,0.9775437945995865,0.980109541417416,0.9830557886125103,0.9839092116873657,0.9846420389346916,0.9848866893676954,0.9999999999999347,0.9999999999998921,0.9999999999999325,0.9999999999999342,0.999999999999936,0.9999999999999413,0.9999999999999359
11.0,0.9802564197232068,0.976598131884644,0.9795526801596726,0.9827138658643577,0.9836902025582044,0.9845514710035858,0.9848435158017574,0.9999999999999329,0.9999999999998851,0.9999999999999355,0.999999999999936,0.9999999999999342,0.9999999999999393,0.9999999999999365
12.000000000000002,0.9795780010257472,0.9757022168974249,0.9790295302981958,0.9823655612403808,0.9834611267036776,0.9844547498153834,0.9847972526054213,0.9999999999999344,0.9999999999998727,0.9999999999999343,0.9999999999999387,0.9999999999999368,0.9999999999999392,0.9999999999999375
13.0,0.9789032403896626,0.9748610191850586,0.9785392174961162,0.9820144146840168,0.9832240101761469,0.9843524611778527,0.9847481598519584,0.9999999999999315,0.9999999999998621,0.9999999999999352,0.9999999999999383,0.9999999999999383,0.99999999999994,0.9999999999999415
14.0,0.9782389825817918,0.9740765198373249,0.9780798711083408,0.9816634458453608,0.982980777404691,0.9842452089162924,0.984696512842448,0.9999999999999324,0.9999999999998512,0.9999999999999332,0.9999999999999353,0.9999999999999408,0.9999999999999352,0.999999999999938
14.999999999999998,0.9775909165662354,0.9733485756728238,0.9776491587141534,0.9813151764672042,0.9827332306591835,0.9841336093998635,0.984642600646508,0.9999999999999326,0.999999999999839,0.9999999999999335,0.9999999999999385,0.9999999999999407,0.9999999999999407,0.9999999999999369
16.0,0.976963656028213,0.9726756157169549,0.9772446283866147,0.9809716705242205,0.9824830368157047,0.9840182864315749,0.9845867246622835,0.9999999999999316,0.9999999999998253,0.9999999999999332,0.999999999999935,0.9999999999999392,0.9999999999999413,0.9999999999999397
17.0,0.9763608430471229,0.9720551755334245,0.9768639133755261,0.9806345846693157,0.9822317205563295,0.9838998665777161,0.9845291972070311,0.9999999999999303,0.9999999999998124,0.9999999999999367,0.9999999999999383,0.9999999999999383,0.9999999999999406,0.9999999999999422
18.0,0.9757852631398712,0.9714842906264542,0.9765048434341038,0.9803052229896682,0.9819806630127544,0.9837789749854058,0.9844703401560667,0.9999999999999284,0.9999999999997983,0.9999999999999323,0.9999999999999355,0.9999999999999405,0.99999999999994,0.9999999999999398
19.0,0.9752389621872081,0.9709597754132825,0.9761654957725954,0.9799845917595604,0.981731104741936,0.9836562317189245,0.9844104836469042,0.9999999999999312,0.9999999999997825,0.9999999999999305,0.9999999999999389,0.9999999999999397,0.9999999999999388,0.9999999999999432
20.0,0.9747233594053777,0.9704784135570161,0.9758442086864872,0.9796734511713395,0.9814841520261395,0.9835322486302441,0.9843499648572749,0.9999999999999256,0.9999999999997653,0.9999999999999329,0.9999999999999389,0.9999999999999392,0.9999999999999437,0.999999999999941
21.0,0.9742393521997846,0.9700370821087134,0.9755395735102093,0.9793723623591879,0.9812407855319576,0.9834076267489376,0.9842891268732031,0.9999999999999287,0.9999999999997482,0.9999999999999284,0.999999999999938,0.9999999999999403,0.9999999999999422,0.9999999999999425
22.0,0.9737874102475405,0.9696328277001358,0.9752504148910552,0.9790817287434818,0.981001870477107,0.983282954194239,0.9842283176490556,0.9999999999999255,0.9999999999997324,0.9999999999999302,0.9999999999999377,0.999999999999941,0.9999999999999434,0.9999999999999396
23.0,0.9733676579947969,0.9692629089498149,0.9749757659027501,0.9788018315077027,0.9807681676608206,0.9831588045736962,0.984167889066056,0.9999999999999276,0.9999999999997153,0.9999999999999316,0.9999999999999384,0.9999999999999387,0.9999999999999456,0.999999999999947
24.000000000000004,0.9729799455280284,0.9689248157191898,0.9747148417093929,0.9785328594067684,0.9805403447712315,0.9830357358284932,0.9841081960953564,0.9999999999999233,0.999999999999697,0.9999999999999278,0.99999999999994,0.9999999999999453,0.9999999999999443,0.9999999999999474
25.0,0.9726239077646056,0.9686162729979049,0.9744670140622984,0.9782749333208092,0.9803189875189642,0.9829142894914816,0.9840495960642879,0.9999999999999225,0.9999999999996776,0.9999999999999276,0.9999999999999397,0.9999999999999417,0.9999999999999484,0.9999999999999488
26.0,0.9722990133222358,0.9683352349807062,0.9742317878319482,0.9780281261318454,0.9801046103219501,0.9827949903267501,0.9839924480249568,0.999999999999924,0.9999999999996577,0.9999999999999286,0.9999999999999398,0.9999999999999413,0.9999999999999415,0.9999999999999498
27.0,0.9720046034865181,0.9680798732303191,0.9740087800395014,0.9777924785966814,0.9798976663768184,0.9826783463002445,0.9839371122292478,0.9999999999999228,0.9999999999996362,0.9999999999999276,0.9999999999999389,0.9999999999999415,0.9999999999999446,0.9999999999999468
28.0,0.9717399227163673,0.9678485615942566,0.973797701555478,0.9775680117960097,0.9796985568530359,0.9825648487870616,0.9838839496980595,0.999999999999921,0.9999999999996139,0.999999999999926,0.999999999999941,0.9999999999999415,0.9999999999999506,0.9999999999999486
29.000000000000004,0.9715041414466719,0.9676398596580734,0.973598341401852,0.9773547367414956,0.9795076392877481,0.9824549730485785,0.983833321862372,0.9999999999999186,0.9999999999995967,0.9999999999999264,0.9999999999999407,0.9999999999999443,0.9999999999999493,0.9999999999999508
29.999999999999996,0.971296372390979,0.9674524958886914,0.973410553442636,0.9771526616588665,0.9793252350493837,0.9823491789164704,0.983785590320291,0.9999999999999185,0.9999999999995757,0.9999999999999255,0.9999999999999404,0.9999999999999446,0.999999999999947,0.9999999999999498
31.0,0.9711156810327458,0.967285351181799,0.9732342452022192,0.9769617974008314,0.979151635968237,0.9822479115326518,0.9837411166543825,0.9999999999999151,0.9999999999995517,0.9999999999999244,0.9999999999999374,0.999999999999946,0.9999999999999512,0.9999999999999508
32.0,0.970961091448221,0.9671374432246247,0.9730693685423791,0.9767821613525163,0.978987110087823,0.9821516023379541,0.9837002622833011,0.9999999999999185,0.9999999999995294,0.9999999999999232,0.9999999999999389,0.999999999999945,0.9999999999999508,0.9999999999999508
33.0,0.9708315878713687,0.9670079118774402,0.9729159119322657,0.9766137801556909,0.978831906686325,0.9820606699681985,0.9836633884409959,0.999999999999917,0.999999999999503,0.9999999999999244,0.9999999999999403,0.9999999999999476,0.9999999999999521,0.9999999999999524
34.0,0.970726113140848,0.9668960056385129,0.9727738940584504,0.9764566914989659,0.9786862605253193,0.9819755213441776,0.9836308560970843,0.9999999999999141,0.9999999999994815,0.9999999999999232,0.9999999999999435,0.9999999999999474,0.9999999999999516,0.9999999999999514
35.0,0.970643564258335,0.966801069175925,0.9726433585454198,0.9763109451774262,0.9785503954571995,0.9818965526494581,0.983603026013746,0.9999999999999116,0.9999999999994587,0.9999999999999228,0.9999999999999404,0.9999999999999462,0.9999999999999539,0.9999999999999529
36.0,0.9705827862051526,0.9667225318539381,0.9725243695802497,0.976176603582721,0.9784245274319946,0.9818241503299492,0.98358025872746,0.9999999999999142,0.9999999999994357,0.9999999999999215,0.9999999999999406,0.9999999999999458,0.9999999999999519,0.9999999999999561
37.0,0.9705425641566539,0.966659897126386,0.9724170082578967,0.9760537417451536,0.9783088669461456,0.9817586920724994,0.983562914567761,0.999999999999913,0.99999999999941,0.9999999999999228,0.9999999999999407,0.9999999999999443,0.9999999999999545,0.9999999999999569
38.0,0.9705216153169695,0.966612732676367,0.9723213694856231,0.9759424470179229,0.9782036209933256,0.9817005476386564,0.9835513536791588,0.9999999999999096,0.9999999999993857,0.9999999999999193,0.9999999999999429,0.9999999999999497,0.9999999999999519,0.9999999999999559
39.0,0.9705185804768293,0.9665806611934347,0.9722375593015717,0.9758428184690249,0.9781089945526977,0.9816500796344596,0.9835459359571431,0.9999999999999076,0.9999999999993604,0.9999999999999194,0.999999999999942,0.9999999999999508,0.999999999999958,0.9999999999999569
40.0,0.9705320166782028,0.9665633515940458,0.9721656924802773,0.9757549660190749,0.9780251916442662,0.9816076441770878,0.9835470209630934,0.9999999999999061,0.9999999999993369,0.9999999999999193,0.9999999999999403,0.9999999999999498,0.9999999999999565,0.9999999999999595
41.0,0.9705603909707542,0.9665605105878772,0.9721058903172393,0.9756790093397837,0.9779524159946554,0.9815735913603144,0.9835549677449208,0.999999999999906,0.9999999999993082,0.9999999999999197,0.9999999999999432,0.9999999999999488,0.9999999999999549,0.9999999999999597
42.0,0.9706020769640652,0.9665718745031187,0.9720582784833286,0.9756150765340701,0.977890871334523,0.9815482655539894,0.9835701345824488,0.9999999999999066,0.999999999999287,0.9999999999999185,0.9999999999999438,0.9999999999999486,0.9999999999999593,0.999999999999963
43.0,0.9706553537708492,0.9665972011156408,0.9720229848503511,0.9755633026128778,0.9778407612771078,0.9815320055469487,0.9835928785609297,0.9999999999999037,0.9999999999992607,0.9999999999999161,0.9999999999999466,0.9999999999999499,0.9999999999999577,0.9999999999999621
44.0,0.9707184094874843,0.9666362615622304,0.97200013721969,0.9755238277200197,0.9778022888272444,0.9815251443607583,0.9836235550113068,0.9999999999999026,0.9999999999992344,0.9999999999999168,0.9999999999999438,0.9999999999999506,0.9999999999999553,0.9999999999999641
45.0,0.9707893481712184,0.9666888321051299,0.9719898608782211,0.9754967950567293,0.9777756555780919,0.9815280089007812,0.9836625167806592,0.9999999999999017,0.9999999999992077,0.9999999999999165,0.9999999999999423,0.9999999999999495,0.9999999999999576,0.9999999999999643
46.0,0.9708662025763535,0.966754685660046,0.9719922758677589,0.9754823485748638,0.9777610603988052,0.9815409192407054,0.9837101132394965,0.9999999999999006,0.9999999999991844,0.9999999999999138,0.9999999999999438,0.9999999999999526,0.9999999999999603,0.9999999999999623
47.0,0.9709469513035227,0.9668335832673943,0.9720074939388292,0.9754806303246358,0.9777586977862293,0.9815641876032942,0.9837666890728652,0.9999999999998973,0.9999999999991569,0.9999999999999136,0.999999999999942,0.9999999999999514,0.9999999999999587,0.9999999999999633
48.00000000000001,0.9710295415198069,0.9669252650250193,0.9720356151526404,0.9754917773723932,0.9777687557684959,0.981598116956689,0.9838325827325712,0.9999999999998955,0.9999999999991336,0.9999999999999147,0.9999999999999456,0.9999999999999535,0.9999999999999607,0.9999999999999675
